*Vertices 1368
1 4.0 58.0
2 54.0 16.0
3 34.0 36.0
4 82.0 4.0
5 36.0 48.0
6 52.0 20.0
7 60.0 42.0
8 50.0 6.0
9 8.0 14.0
10 46.0 14.0
11 60.0 40.0
12 52.0 50.0
13 70.0 36.0
14 86.0 0.0
15 4.0 56.0
16 74.0 48.0
17 40.0 4.0
18 14.0 16.0
19 76.0 12.0
20 60.0 38.0
21 72.0 28.0
22 4.0 26.0
23 74.0 22.0
24 86.0 66.0
25 74.0 46.0
26 68.0 8.0
27 4.0 54.0
28 24.0 10.0
29 60.0 18.0
30 14.0 2.0
31 70.0 34.0
32 52.0 52.0
33 54.0 2.0
34 36.0 46.0
35 22.0 8.0
36 4.0 60.0
37 20.0 12.0
38 2.0 24.0
39 36.0 22.0
40 60.0 44.0
41 66.0 4.0
42 60.0 20.0
43 34.0 0.0
44 72.0 54.0
45 62.0 16.0
46 74.0 24.0
47 6.0 64.0
48 10.0 14.0
49 4.0 28.0
50 72.0 26.0
51 78.0 14.0
52 52.0 42.0
53 58.0 6.0
54 52.0 40.0
55 36.0 24.0
56 2.0 22.0
57 38.0 14.0
58 72.0 60.0
59 70.0 0.0
60 32.0 4.0
61 12.0 16.0
62 60.0 50.0
63 2.0 46.0
64 86.0 36.0
65 0.0 4.0
66 70.0 66.0
67 52.0 38.0
68 28.0 10.0
69 52.0 18.0
70 12.0 2.0
71 60.0 52.0
72 2.0 48.0
73 84.0 8.0
74 72.0 58.0
75 18.0 8.0
76 6.0 30.0
77 72.0 56.0
78 62.0 2.0
79 34.0 66.0
80 16.0 12.0
81 52.0 44.0
82 6.0 62.0
83 2.0 38.0
84 34.0 6.0
85 12.0 14.0
86 6.0 58.0
87 74.0 50.0
88 50.0 36.0
89 38.0 16.0
90 52.0 48.0
91 58.0 0.0
92 2.0 18.0
93 36.0 20.0
94 78.0 16.0
95 36.0 50.0
96 74.0 20.0
97 6.0 56.0
98 72.0 30.0
99 10.0 16.0
100 56.0 4.0
101 72.0 62.0
102 70.0 6.0
103 62.0 14.0
104 2.0 44.0
105 60.0 24.0
106 6.0 54.0
107 78.0 2.0
108 10.0 2.0
109 16.0 10.0
110 44.0 18.0
111 36.0 52.0
112 2.0 42.0
113 6.0 26.0
114 72.0 64.0
115 52.0 22.0
116 28.0 12.0
117 58.0 66.0
118 2.0 40.0
119 38.0 2.0
120 52.0 46.0
121 74.0 52.0
122 30.0 8.0
123 6.0 60.0
124 4.0 64.0
125 74.0 40.0
126 14.0 14.0
127 6.0 28.0
128 36.0 42.0
129 60.0 48.0
130 2.0 52.0
131 50.0 0.0
132 58.0 36.0
133 46.0 16.0
134 8.0 16.0
135 48.0 4.0
136 44.0 50.0
137 36.0 40.0
138 52.0 24.0
139 86.0 6.0
140 54.0 14.0
141 74.0 42.0
142 8.0 2.0
143 20.0 10.0
144 2.0 20.0
145 36.0 18.0
146 44.0 52.0
147 74.0 44.0
148 36.0 38.0
149 60.0 22.0
150 24.0 12.0
151 50.0 66.0
152 36.0 44.0
153 74.0 38.0
154 4.0 62.0
155 4.0 30.0
