*Vertices 250
1 841.0 47.0
2 526.0 149.0
3 949.0 79.0
4 855.0 101.0
5 61.0 181.0
6 619.0 371.0
7 798.0 292.0
8 337.0 237.0
9 763.0 167.0
10 29.0 228.0
11 597.0 314.0
12 724.0 261.0
13 701.0 87.0
14 947.0 105.0
15 63.0 259.0
16 498.0 104.0
17 379.0 210.0
18 660.0 76.0
19 713.0 105.0
20 921.0 150.0
21 402.0 177.0
22 256.0 372.0
23 658.0 101.0
24 381.0 244.0
25 222.0 144.0
26 357.0 365.0
27 762.0 237.0
28 758.0 107.0
29 433.0 50.0
30 938.0 181.0
31 183.0 177.0
32 53.0 88.0
33 237.0 75.0
34 659.0 48.0
35 975.0 113.0
36 158.0 311.0
37 845.0 313.0
38 840.0 370.0
39 529.0 206.0
40 91.0 370.0
41 922.0 260.0
42 664.0 293.0
43 872.0 310.0
44 732.0 56.0
45 192.0 238.0
46 532.0 361.0
47 261.0 183.0
48 770.0 364.0
49 397.0 123.0
50 920.0 181.0
51 969.0 154.0
52 831.0 159.0
53 863.0 182.0
54 915.0 325.0
55 188.0 371.0
56 444.0 298.0
57 144.0 107.0
58 274.0 265.0
59 684.0 365.0
60 885.0 214.0
61 382.0 191.0
62 400.0 360.0
63 348.0 116.0
64 288.0 165.0
65 229.0 214.0
66 234.0 50.0
67 207.0 76.0
68 559.0 206.0
69 492.0 365.0
70 843.0 279.0
71 625.0 329.0
72 805.0 207.0
73 374.0 146.0
74 466.0 209.0
75 150.0 141.0
76 901.0 289.0
77 432.0 148.0
78 84.0 224.0
79 80.0 75.0
80 422.0 267.0
81 453.0 175.0
82 901.0 184.0
83 467.0 229.0
84 571.0 46.0
85 733.0 135.0
86 437.0 175.0
87 490.0 327.0
88 82.0 103.0
89 922.0 48.0
90 156.0 371.0
91 79.0 47.0
92 390.0 81.0
93 24.0 152.0
94 652.0 370.0
95 26.0 368.0
96 288.0 321.0
97 499.0 184.0
98 495.0 265.0
99 978.0 359.0
100 82.0 292.0
101 642.0 135.0
102 939.0 263.0
103 230.0 374.0
104 363.0 177.0
105 246.0 104.0
106 382.0 176.0
107 950.0 308.0
108 790.0 264.0
109 804.0 50.0
110 277.0 47.0
111 129.0 308.0
112 272.0 86.0
113 847.0 87.0
114 892.0 135.0
115 122.0 187.0
116 419.0 114.0
117 728.0 86.0
118 333.0 145.0
119 548.0 297.0
120 52.0 327.0
121 735.0 208.0
122 590.0 267.0
123 155.0 89.0
124 311.0 334.0
125 155.0 257.0
126 875.0 45.0
127 83.0 259.0
128 731.0 169.0
129 368.0 120.0
130 86.0 130.0
131 920.0 126.0
132 446.0 328.0
133 947.0 232.0
134 646.0 266.0
135 386.0 50.0
136 819.0 279.0
137 872.0 88.0
138 264.0 148.0
139 30.0 302.0
