*Vertices 3150
1 82.0 1397.0
2 1833.0 55.5
3 1166.5 1823.0
4 562.5 1789.0
5 569.5 949.0
6 783.0 152.0
7 82.0 1327.0
8 1097.0 300.5
9 629.0 1331.5
10 1701.5 840.5
11 110.5 1591.5
12 1416.0 311.0
13 752.0 165.0
14 239.5 690.5
15 2032.0 984.5
16 1795.0 613.5
17 1763.0 765.5
18 82.0 1537.0
19 1964.5 579.0
20 1637.5 1720.0
21 987.0 14.0
22 1742.5 1080.0
23 1637.5 1755.0
24 1964.5 1149.0
25 713.5 1152.0
26 1443.0 14.0
27 2000.0 291.0
28 910.5 170.5
29 16.0 60.0
30 1418.0 1445.0
31 2000.0 361.0
32 1798.0 940.5
33 1798.0 975.5
34 901.5 1115.0
35 1111.5 475.0
36 361.0 695.5
37 1798.0 870.5
38 636.0 654.0
39 667.5 614.0
40 598.0 1431.0
41 533.5 1334.0
42 2069.5 1859.0
43 2002.5 424.0
44 2000.0 326.0
45 284.5 1041.5
46 1062.0 125.5
47 391.0 14.0
48 777.0 1294.0
49 12.5 617.0
50 465.5 1823.0
51 43.5 426.5
52 985.5 971.5
53 1199.5 1474.0
54 1900.5 54.0
55 12.5 582.0
56 1146.5 1115.0
57 1451.0 916.0
58 2031.0 1401.5
59 910.5 840.5
60 748.5 1827.0
61 1234.5 729.0
62 1270.5 344.0
63 1611.5 1510.5
64 1097.0 195.5
65 1484.0 1397.0
66 1686.5 936.5
67 445.5 1755.0
68 1094.0 1148.5
69 445.5 1720.0
70 1484.0 1327.0
71 1798.0 1335.5
72 566.0 14.0
73 1484.0 1537.0
74 181.5 583.5
75 51.0 1445.0
76 1006.5 1755.0
77 1062.0 905.5
78 6.0 654.0
79 1270.5 1659.0
80 1006.5 1720.0
81 216.0 14.0
82 499.5 879.0
83 270.5 475.0
84 632.5 1254.0
85 200.5 1720.0
86 1236.5 1253.0
87 811.5 951.5
88 1832.5 1858.0
89 709.5 1101.5
90 1132.0 1475.5
91 2066.0 86.5
92 200.5 1755.0
93 1453.0 130.0
94 1548.0 1338.5
95 1024.0 1788.5
96 466.0 370.5
97 1686.5 1681.5
98 562.5 509.0
99 1701.5 170.5
100 1368.5 1254.0
101 47.5 1187.0
102 431.0 405.5
103 1550.5 1741.5
104 1964.5 1894.0
105 715.0 1521.0
106 1898.0 14.0
107 430.5 1823.0
108 1231.5 1064.0
109 251.5 1793.5
110 1795.0 1183.5
111 1513.0 93.5
112 1585.5 426.5
113 1132.0 160.5
114 1547.5 916.5
115 1653.5 583.5
116 884.5 1741.5
117 1971.5 914.0
118 1641.5 1510.5
119 1902.5 1893.0
120 2032.0 1659.5
121 1936.5 879.0
122 1062.0 90.5
123 1602.5 475.0
124 1833.0 230.5
125 216.5 583.5
126 818.5 1187.0
127 181.0 14.0
128 1833.0 730.5
129 269.5 690.5
130 1235.5 1589.0
131 323.0 1183.5
132 1671.5 170.5
133 1512.5 986.5
134 1097.0 1440.5
135 1416.0 1556.0
136 1416.0 1626.0
137 1798.0 335.5
138 750.0 881.0
139 1833.0 1650.5
140 664.0 86.5
141 1901.5 239.0
142 779.5 1741.5
143 1453.0 1480.0
144 1793.0 1294.0
145 1330.0 121.5
146 251.5 1223.5
147 1582.5 1591.5
148 1167.0 695.5
149 1758.0 654.0
150 430.5 508.0
151 431.0 1370.5
152 1967.5 1739.0
153 146.0 768.5
154 1166.5 508.0
155 1707.5 440.0
156 1671.5 840.5
157 1686.5 1611.5
158 1000.5 1510.5
159 812.0 163.5
160 299.5 1330.5
161 396.0 1010.5
162 974.0 1825.0
163 881.5 1021.5
164 8.5 461.5
165 1453.0 1340.0
166 1902.5 1788.0
167 535.5 1183.0
168 1710.0 1860.0
169 1131.5 1183.0
170 308.0 1220.0
171 1515.5 426.5
