*Vertices 350
0 16.0 60.0
1 51.0 60.0
2 16.0 95.0
3 51.0 95.0
4 16.0 130.0
5 51.0 130.0
6 16.0 165.0
7 51.0 165.0
8 16.0 200.0
9 51.0 200.0
10 111.0 58.5
11 146.0 58.5
12 181.0 58.5
13 111.0 93.5
14 146.0 93.5
15 181.0 93.5
16 111.0 128.5
17 146.0 128.5
18 181.0 128.5
19 111.0 163.5
20 146.0 163.5
21 181.0 163.5
22 111.0 198.5
23 146.0 198.5
24 181.0 198.5
25 6.0 14.0
26 41.0 14.0
27 76.0 14.0
28 111.0 14.0
29 146.0 14.0
30 181.0 14.0
31 216.0 14.0
32 251.0 14.0
33 286.0 14.0
34 321.0 14.0
35 356.0 14.0
36 391.0 14.0
37 426.0 14.0
38 461.0 14.0
39 496.0 14.0
40 531.0 14.0
41 566.0 14.0
42 601.0 14.0
43 636.0 14.0
44 671.0 14.0
45 110.5 241.5
46 145.5 241.5
47 180.5 241.5
48 110.5 276.5
49 145.5 276.5
50 180.5 276.5
51 110.5 311.5
52 145.5 311.5
53 180.5 311.5
54 110.5 346.5
55 145.5 346.5
56 180.5 346.5
57 110.5 381.5
58 145.5 381.5
59 180.5 381.5
60 14.0 241.0
61 49.0 241.0
62 14.0 276.0
63 49.0 276.0
64 14.0 311.0
65 49.0 311.0
66 14.0 346.0
67 49.0 346.0
68 14.0 381.0
69 49.0 381.0
70 361.0 55.5
71 396.0 55.5
72 431.0 55.5
73 466.0 55.5
74 361.0 90.5
75 396.0 90.5
76 431.0 90.5
77 466.0 90.5
78 361.0 125.5
79 396.0 125.5
80 431.0 125.5
81 466.0 125.5
82 361.0 160.5
83 396.0 160.5
84 431.0 160.5
85 466.0 160.5
86 361.0 195.5
87 396.0 195.5
88 431.0 195.5
89 466.0 195.5
90 361.0 230.5
91 396.0 230.5
92 431.0 230.5
93 466.0 230.5
94 361.0 265.5
95 396.0 265.5
96 431.0 265.5
97 466.0 265.5
98 361.0 300.5
99 396.0 300.5
100 431.0 300.5
101 466.0 300.5
102 361.0 335.5
103 396.0 335.5
104 431.0 335.5
105 466.0 335.5
106 361.0 370.5
107 396.0 370.5
108 431.0 370.5
109 466.0 370.5
110 361.0 405.5
111 396.0 405.5
112 431.0 405.5
113 466.0 405.5
114 209.5 50.5
115 239.5 50.5
116 269.5 50.5
117 299.5 50.5
118 209.5 80.5
119 239.5 80.5
120 269.5 80.5
121 299.5 80.5
122 209.5 110.5
123 239.5 110.5
124 269.5 110.5
125 299.5 110.5
126 209.5 140.5
127 239.5 140.5
128 269.5 140.5
129 299.5 140.5
130 209.5 170.5
131 239.5 170.5
132 269.5 170.5
133 299.5 170.5
134 209.5 200.5
135 239.5 200.5
136 269.5 200.5
137 299.5 200.5
138 209.5 230.5
139 239.5 230.5
140 269.5 230.5
141 299.5 230.5
142 209.5 260.5
143 239.5 260.5
144 269.5 260.5
145 299.5 260.5
146 284.5 296.5
147 319.5 296.5
148 284.5 331.5
149 319.5 331.5
150 284.5 366.5
151 319.5 366.5
152 284.5 401.5
153 319.5 401.5
154 12.5 512.0
155 47.5 512.0
156 82.5 512.0
157 117.5 512.0
158 12.5 547.0
159 47.5 547.0
160 82.5 547.0
161 117.5 547.0
162 12.5 582.0
163 47.5 582.0
164 82.5 582.0
165 117.5 582.0
166 12.5 617.0
167 47.5 617.0
168 82.5 617.0
169 117.5 617.0
170 146.5 513.5
171 181.5 513.5
172 216.5 513.5
173 251.5 513.5
174 146.5 548.5
175 181.5 548.5
176 216.5 548.5
177 251.5 548.5
178 146.5 583.5
179 181.5 583.5
180 216.5 583.5
181 251.5 583.5
182 146.5 618.5
183 181.5 618.5
184 216.5 618.5
185 251.5 618.5
186 323.0 508.5
187 358.0 508.5
188 393.0 508.5
189 323.0 543.5
190 358.0 543.5
191 393.0 543.5
192 323.0 578.5
193 358.0 578.5
194 393.0 578.5
195 323.0 613.5
196 358.0 613.5
197 393.0 613.5
198 273.0 545.0
199 308.0 545.0
200 273.0 580.0
201 308.0 580.0
202 273.0 615.0
203 308.0 615.0
204 430.5 508.0
205 465.5 508.0
206 500.5 508.0
207 535.5 508.0
208 430.5 543.0
209 465.5 543.0
210 500.5 543.0
211 535.5 543.0
212 430.5 578.0
213 465.5 578.0
214 500.5 578.0
215 535.5 578.0
216 430.5 613.0
217 465.5 613.0
218 500.5 613.0
219 535.5 613.0
220 562.5 509.0
221 597.5 509.0
222 632.5 509.0
223 667.5 509.0
224 562.5 544.0
225 597.5 544.0
226 632.5 544.0
227 667.5 544.0
228 562.5 579.0
