*Vertices 156
1 18.0 4.0
2 48.0 2.0
3 10.0 8.0
4 4.0 4.0
5 30.0 6.0
6 42.0 0.0
7 36.0 8.0
8 18.0 0.0
9 6.0 10.0
10 50.0 6.0
11 4.0 0.0
12 26.0 10.0
13 42.0 4.0
14 50.0 2.0
15 40.0 0.0
16 2.0 4.0
17 20.0 8.0
18 38.0 8.0
19 48.0 6.0
20 30.0 2.0
21 40.0 4.0
22 2.0 0.0
23 16.0 4.0
24 46.0 0.0
25 28.0 6.0
26 32.0 8.0
27 16.0 0.0
28 24.0 10.0
29 46.0 4.0
30 14.0 2.0
31 0.0 8.0
32 8.0 4.0
33 44.0 0.0
34 14.0 6.0
35 22.0 8.0
36 8.0 0.0
37 34.0 8.0
38 44.0 4.0
39 28.0 2.0
40 12.0 10.0
41 8.0 8.0
42 26.0 6.0
43 34.0 0.0
44 50.0 10.0
45 6.0 6.0
46 22.0 4.0
47 30.0 10.0
48 34.0 4.0
49 44.0 8.0
50 22.0 0.0
51 16.0 8.0
52 32.0 0.0
53 48.0 10.0
54 0.0 0.0
55 26.0 2.0
56 32.0 4.0
57 46.0 8.0
58 6.0 2.0
59 0.0 4.0
60 38.0 0.0
61 24.0 6.0
62 2.0 8.0
63 20.0 4.0
64 28.0 10.0
65 38.0 4.0
66 12.0 2.0
67 40.0 8.0
68 20.0 0.0
69 36.0 0.0
70 12.0 6.0
71 18.0 8.0
72 10.0 4.0
73 4.0 8.0
74 36.0 4.0
75 24.0 2.0
76 14.0 10.0
77 10.0 0.0
78 42.0 8.0
79 26.0 0.0
80 34.0 6.0
81 4.0 10.0
82 6.0 0.0
83 18.0 10.0
84 26.0 4.0
85 42.0 10.0
86 32.0 2.0
87 14.0 8.0
88 6.0 4.0
89 22.0 6.0
90 0.0 2.0
91 2.0 10.0
92 32.0 6.0
93 22.0 2.0
94 0.0 6.0
95 40.0 10.0
96 34.0 2.0
97 28.0 8.0
98 38.0 6.0
99 48.0 8.0
100 24.0 0.0
101 10.0 2.0
102 16.0 10.0
103 36.0 2.0
104 24.0 4.0
105 46.0 10.0
106 20.0 6.0
107 36.0 6.0
108 12.0 0.0
109 50.0 8.0
110 8.0 10.0
111 20.0 2.0
112 38.0 2.0
113 12.0 4.0
114 44.0 10.0
115 10.0 6.0
116 30.0 8.0
117 50.0 4.0
118 22.0 10.0
119 30.0 0.0
120 42.0 6.0
121 2.0 2.0
122 12.0 8.0
123 18.0 6.0
124 50.0 0.0
125 4.0 6.0
126 30.0 4.0
127 34.0 10.0
128 40.0 2.0
129 18.0 2.0
130 48.0 4.0
131 4.0 2.0
132 40.0 6.0
133 0.0 10.0
134 48.0 0.0
135 24.0 8.0
136 32.0 10.0
137 42.0 2.0
138 2.0 6.0
139 8.0 2.0
140 20.0 10.0
141 46.0 6.0
142 28.0 0.0
143 16.0 6.0
144 44.0 2.0
145 28.0 4.0
146 38.0 10.0
147 10.0 10.0
148 16.0 2.0
149 44.0 6.0
150 14.0 0.0
151 8.0 6.0
152 26.0 8.0
153 46.0 2.0
154 14.0 4.0
155 6.0 8.0
156 36.0 10.0
*Edges
78 85 1.0
43 96 1.0
154 23 1.0
67 78 1.0
6 33 1.0
103 112 1.0
10 109 1.0
15 128 1.0
37 7 1.0
106 17 1.0
16 138 1.0
52 43 1.0
63 46 1.0
48 80 1.0
129 1 1.0
135 28 1.0
143 51 1.0
134 2 1.0
23 1 1.0
138 62 1.0
123 106 1.0
111 93 1.0
124 14 1.0
112 65 1.0
104 84 1.0
59 16 1.0
3 147 1.0
99 109 1.0
137 13 1.0
131 58 1.0
85 114 1.0
26 136 1.0
52 86 1.0
115 3 1.0
77 101 1.0
126 5 1.0
78 49 1.0
80 107 1.0
74 65 1.0
109 44 1.0
15 6 1.0
30 148 1.0
32 151 1.0
75 55 1.0
19 99 1.0
77 108 1.0
118 28 1.0
6 137 1.0
55 39 1.0
26 37 1.0
71 83 1.0
43 69 1.0
94 138 1.0
145 25 1.0
56 92 1.0
13 120 1.0
54 90 1.0
22 121 1.0
12 64 1.0
11 131 1.0
121 16 1.0
135 152 1.0
149 49 1.0
21 132 1.0
31 62 1.0
36 139 1.0
128 21 1.0
108 66 1.0
61 135 1.0
108 150 1.0
82 36 1.0
95 85 1.0
36 77 1.0
70 122 1.0
134 124 1.0
47 136 1.0
32 72 1.0
97 64 1.0
34 143 1.0
59 94 1.0
86 96 1.0
30 154 1.0
35 118 1.0
130 117 1.0
116 26 1.0
29 141 1.0
89 35 1.0
137 144 1.0
69 60 1.0
148 23 1.0
80 37 1.0
155 41 1.0
23 143 1.0
39 145 1.0
122 40 1.0
143 123 1.0
11 82 1.0
1 63 1.0
120 78 1.0
125 73 1.0
147 40 1.0
84 145 1.0
4 125 1.0
88 32 1.0
79 55 1.0
72 113 1.0
86 56 1.0
149 141 1.0
100 75 1.0
82 58 1.0
94 31 1.0
68 50 1.0
35 135 1.0
105 53 1.0
140 118 1.0
69 103 1.0
71 17 1.0
76 102 1.0
64 47 1.0
18 67 1.0
127 156 1.0
111 63 1.0
79 142 1.0
115 70 1.0
42 25 1.0
56 48 1.0
107 98 1.0
96 103 1.0
136 127 1.0
48 74 1.0
68 111 1.0
145 126 1.0
150 30 1.0
128 137 1.0
150 27 1.0
100 79 1.0
101 66 1.0
66 30 1.0
42 152 1.0
152 97 1.0
58 139 1.0
132 67 1.0
154 34 1.0
139 101 1.0
38 149 1.0
2 14 1.0
54 22 1.0
90 121 1.0
75 104 1.0
90 59 1.0
73 155 1.0
114 105 1.0
91 81 1.0
113 154 1.0
63 106 1.0
25 97 1.0
107 7 1.0
87 76 1.0
151 41 1.0
62 91 1.0
89 61 1.0
104 61 1.0
81 9 1.0
1 123 1.0
96 48 1.0
34 87 1.0
60 112 1.0
7 18 1.0
132 120 1.0
117 10 1.0
152 12 1.0
83 140 1.0
58 88 1.0
57 105 1.0
49 57 1.0
153 29 1.0
148 129 1.0
126 56 1.0
130 19 1.0
102 83 1.0
72 115 1.0
9 110 1.0
62 73 1.0
45 151 1.0
8 68 1.0
22 11 1.0
113 70 1.0
84 42 1.0
19 10 1.0
60 15 1.0
65 21 1.0
131 4 1.0
97 116 1.0
8 129 1.0
20 86 1.0
93 75 1.0
92 26 1.0
156 146 1.0
29 130 1.0
99 53 1.0
120 149 1.0
138 125 1.0
139 32 1.0
49 114 1.0
39 20 1.0
141 19 1.0
144 153 1.0
153 2 1.0
155 9 1.0
98 132 1.0
46 89 1.0
5 116 1.0
70 34 1.0
151 115 1.0
98 18 1.0
133 91 1.0
37 127 1.0
106 89 1.0
66 113 1.0
18 146 1.0
142 39 1.0
38 29 1.0
17 140 1.0
31 133 1.0
116 47 1.0
103 74 1.0
125 45 1.0
4 88 1.0
33 144 1.0
101 72 1.0
53 44 1.0
119 20 1.0
129 111 1.0
121 131 1.0
57 99 1.0
50 93 1.0
46 104 1.0
141 57 1.0
123 71 1.0
24 153 1.0
88 45 1.0
55 84 1.0
27 8 1.0
87 51 1.0
51 102 1.0
