# This graph has a small corridor (50 by 6) with a "door" to a larger room (50 by 50)

*Vertices 804
1 4.0 58.0
2 34.0 36.0
3 36.0 48.0
4 42.0 0.0
5 50.0 6.0
6 44.0 24.0
7 4.0 56.0
8 40.0 4.0
9 6.0 32.0
10 38.0 70.0
11 4.0 26.0
12 4.0 54.0
13 24.0 10.0
14 14.0 2.0
15 36.0 46.0
16 22.0 8.0
17 34.0 34.0
18 4.0 60.0
19 36.0 68.0
20 42.0 66.0
21 10.0 70.0
22 36.0 22.0
23 2.0 24.0
24 44.0 48.0
25 34.0 0.0
26 42.0 36.0
27 6.0 64.0
28 4.0 28.0
29 36.0 24.0
30 2.0 22.0
31 2.0 68.0
32 32.0 4.0
33 2.0 46.0
34 0.0 4.0
35 46.0 70.0
36 28.0 10.0
37 12.0 2.0
38 2.0 48.0
39 42.0 34.0
40 6.0 30.0
41 44.0 46.0
42 8.0 70.0
43 34.0 66.0
44 44.0 22.0
45 6.0 62.0
46 44.0 68.0
47 2.0 38.0
48 44.0 42.0
49 34.0 6.0
50 6.0 58.0
51 50.0 36.0
52 36.0 20.0
53 36.0 50.0
54 6.0 56.0
55 4.0 32.0
56 2.0 44.0
57 44.0 40.0
58 6.0 54.0
59 10.0 2.0
60 36.0 52.0
61 2.0 42.0
62 44.0 38.0
63 6.0 26.0
64 28.0 12.0
65 14.0 70.0
66 2.0 40.0
67 44.0 44.0
68 38.0 2.0
69 50.0 34.0
70 6.0 60.0
71 4.0 64.0
72 6.0 28.0
73 36.0 42.0
74 42.0 6.0
75 2.0 52.0
76 50.0 0.0
77 44.0 20.0
78 48.0 4.0
79 44.0 50.0
80 36.0 40.0
81 8.0 2.0
82 2.0 20.0
83 44.0 52.0
84 36.0 38.0
85 24.0 12.0
86 12.0 70.0
87 50.0 66.0
88 36.0 44.0
89 4.0 62.0
90 4.0 30.0
91 26.0 8.0
92 46.0 2.0
93 2.0 50.0
94 30.0 6.0
95 6.0 44.0
96 18.0 0.0
97 22.0 36.0
98 28.0 16.0
99 2.0 56.0
100 44.0 60.0
101 2.0 58.0
102 44.0 54.0
103 6.0 38.0
104 44.0 26.0
105 2.0 60.0
106 44.0 56.0
107 6.0 40.0
108 4.0 24.0
109 20.0 70.0
110 6.0 42.0
111 18.0 66.0
112 2.0 26.0
113 36.0 28.0
114 2.0 54.0
115 44.0 58.0
116 22.0 34.0
117 28.0 2.0
118 4.0 22.0
119 26.0 6.0
120 4.0 68.0
121 18.0 36.0
122 24.0 16.0
123 36.0 60.0
124 22.0 0.0
125 4.0 46.0
126 6.0 52.0
127 36.0 54.0
128 2.0 28.0
129 36.0 26.0
130 36.0 56.0
131 6.0 50.0
132 16.0 70.0
133 44.0 28.0
134 22.0 66.0
135 4.0 48.0
136 24.0 2.0
137 6.0 20.0
138 36.0 58.0
139 18.0 34.0
140 26.0 0.0
141 2.0 32.0
142 30.0 36.0
143 36.0 30.0
144 36.0 62.0
145 22.0 6.0
146 4.0 44.0
147 4.0 38.0
148 24.0 14.0
149 4.0 40.0
150 28.0 70.0
151 6.0 24.0
152 44.0 32.0
153 30.0 34.0
154 20.0 2.0
155 4.0 42.0
156 26.0 66.0
157 36.0 64.0
158 26.0 36.0
159 44.0 30.0
160 30.0 0.0
161 6.0 46.0
162 18.0 6.0
163 6.0 22.0
164 6.0 68.0
165 44.0 62.0
166 28.0 14.0
167 2.0 64.0
168 4.0 52.0
169 24.0 70.0
170 2.0 62.0
171 2.0 30.0
172 36.0 32.0
173 4.0 50.0
174 6.0 48.0
175 4.0 20.0
176 16.0 2.0
177 26.0 34.0
178 44.0 64.0
179 30.0 66.0
180 16.0 26.0
181 12.0 42.0
182 46.0 24.0
183 10.0 48.0
184 14.0 20.0
185 16.0 54.0
186 42.0 4.0
187 16.0 60.0
188 32.0 36.0
189 28.0 30.0
190 38.0 48.0
191 14.0 50.0
192 40.0 0.0
193 0.0 36.0
194 12.0 40.0
195 48.0 6.0
196 8.0 24.0
197 28.0 62.0
198 0.0 34.0
199 38.0 46.0
200 14.0 52.0
201 32.0 34.0
202 16.0 58.0
203 20.0 28.0
204 38.0 68.0
205 28.0 64.0
206 38.0 22.0
207 40.0 66.0
208 12.0 38.0
209 36.0 70.0
210 10.0 22.0
211 12.0 44.0
212 10.0 68.0
213 24.0 32.0
214 16.0 56.0
215 10.0 46.0
216 14.0 42.0
217 38.0 24.0
218 20.0 26.0
219 20.0 54.0
220 34.0 4.0
221 8.0 48.0
222 12.0 20.0
223 46.0 48.0
224 12.0 50.0
225 32.0 0.0
226 20.0 60.0
227 0.0 0.0
228 40.0 36.0
229 24.0 30.0
230 24.0 62.0
231 14.0 40.0
232 2.0 70.0
233 10.0 24.0
234 40.0 34.0
235 20.0 58.0
236 46.0 46.0
237 12.0 52.0
238 46.0 22.0
239 32.0 66.0
240 14.0 38.0
241 16.0 28.0
242 0.0 66.0
243 46.0 68.0
244 24.0 64.0
245 8.0 68.0
246 44.0 70.0
247 8.0 22.0
248 14.0 44.0
249 8.0 46.0
250 28.0 32.0
251 20.0 56.0
252 38.0 50.0
253 14.0 48.0
254 10.0 20.0
255 24.0 54.0
256 24.0 26.0
257 46.0 40.0
258 8.0 42.0
259 46.0 42.0
260 8.0 40.0
261 12.0 24.0
262 32.0 6.0
263 20.0 62.0
264 0.0 6.0
265 24.0 60.0
266 48.0 36.0
267 20.0 30.0
268 10.0 50.0
269 38.0 20.0
270 28.0 28.0
271 20.0 64.0
272 46.0 44.0
273 8.0 38.0
274 36.0 2.0
275 10.0 52.0
276 48.0 34.0
277 24.0 58.0
278 16.0 32.0
279 24.0 56.0
280 38.0 52.0
281 14.0 46.0
282 14.0 22.0
283 46.0 38.0
284 8.0 44.0
285 14.0 68.0
286 28.0 54.0
287 50.0 4.0
288 46.0 50.0
289 12.0 48.0
290 2.0 2.0
291 8.0 20.0
292 38.0 40.0
293 10.0 42.0
294 28.0 26.0
295 16.0 62.0
296 38.0 42.0
297 10.0 40.0
298 14.0 24.0
299 40.0 6.0
300 8.0 50.0
301 46.0 20.0
302 48.0 0.0
303 28.0 60.0
304 16.0 30.0
305 48.0 66.0
306 38.0 44.0
307 10.0 38.0
308 24.0 28.0
309 16.0 64.0
310 28.0 58.0
311 44.0 2.0
312 8.0 52.0
313 46.0 52.0
314 12.0 46.0
315 20.0 32.0
316 28.0 56.0
317 12.0 68.0
318 12.0 22.0
319 38.0 38.0
320 10.0 44.0
321 14.0 30.0
322 18.0 4.0
323 46.0 54.0
324 8.0 60.0
325 28.0 50.0
326 16.0 24.0
327 24.0 40.0
328 46.0 26.0
329 14.0 62.0
330 8.0 26.0
331 24.0 42.0
332 28.0 20.0
333 20.0 48.0
334 46.0 60.0
335 8.0 54.0
336 24.0 44.0
337 20.0 22.0
338 20.0 68.0
339 38.0 28.0
340 46.0 58.0
341 8.0 56.0
342 12.0 32.0
343 20.0 46.0
344 28.0 52.0
345 24.0 18.0
346 46.0 56.0
347 8.0 58.0
348 14.0 64.0
349 10.0 28.0
350 24.0 38.0
351 24.0 50.0
352 12.0 30.0
353 22.0 4.0
354 38.0 54.0
355 10.0 60.0
356 38.0 26.0
357 12.0 62.0
358 20.0 24.0
359 4.0 70.0
360 28.0 40.0
361 28.0 42.0
362 10.0 26.0
363 38.0 60.0
364 10.0 54.0
365 6.0 2.0
366 24.0 20.0
367 16.0 48.0
368 16.0 68.0
369 46.0 28.0
370 28.0 44.0
371 16.0 22.0
372 16.0 46.0
373 38.0 58.0
374 10.0 56.0
375 14.0 32.0
376 38.0 56.0
377 10.0 58.0
378 24.0 52.0
379 28.0 18.0
380 28.0 38.0
381 12.0 64.0
382 8.0 28.0
383 24.0 24.0
384 16.0 40.0
385 10.0 62.0
386 26.0 4.0
387 10.0 30.0
388 12.0 60.0
389 20.0 50.0
390 20.0 20.0
391 28.0 48.0
392 38.0 30.0
393 12.0 54.0
394 12.0 26.0
395 38.0 62.0
396 16.0 42.0
397 12.0 56.0
398 8.0 32.0
399 28.0 46.0
400 16.0 44.0
401 28.0 22.0
402 38.0 64.0
403 28.0 68.0
404 10.0 64.0
405 14.0 28.0
406 16.0 38.0
407 20.0 52.0
408 12.0 58.0
409 46.0 32.0
410 8.0 62.0
411 6.0 70.0
412 28.0 24.0
413 20.0 40.0
414 16.0 50.0
415 30.0 4.0
