*Vertices 420
1 36.0 48.0
2 42.0 0.0
3 50.0 6.0
4 8.0 14.0
5 32.0 46.0
6 50.0 2.0
7 46.0 14.0
8 0.0 46.0
9 2.0 4.0
10 20.0 8.0
11 44.0 24.0
12 0.0 22.0
13 40.0 4.0
14 6.0 32.0
15 50.0 16.0
16 0.0 48.0
17 48.0 20.0
18 4.0 26.0
19 46.0 0.0
20 32.0 48.0
21 14.0 2.0
22 42.0 14.0
23 36.0 46.0
24 14.0 6.0
25 22.0 8.0
26 8.0 0.0
27 48.0 50.0
28 44.0 4.0
29 2.0 24.0
30 44.0 48.0
31 34.0 0.0
32 48.0 38.0
33 42.0 36.0
34 48.0 18.0
35 4.0 28.0
36 8.0 34.0
37 16.0 8.0
38 46.0 34.0
39 2.0 22.0
40 40.0 46.0
41 48.0 44.0
42 32.0 4.0
43 2.0 46.0
44 0.0 4.0
45 38.0 0.0
46 40.0 48.0
47 46.0 36.0
48 12.0 2.0
49 2.0 48.0
50 48.0 42.0
51 12.0 6.0
52 18.0 8.0
53 42.0 34.0
54 6.0 30.0
55 48.0 40.0
56 0.0 24.0
57 44.0 46.0
58 36.0 4.0
59 44.0 22.0
60 8.0 36.0
61 10.0 0.0
62 44.0 42.0
63 2.0 38.0
64 34.0 6.0
65 50.0 36.0
66 2.0 18.0
67 36.0 50.0
68 40.0 44.0
69 48.0 22.0
70 4.0 32.0
71 48.0 46.0
72 34.0 2.0
73 44.0 40.0
74 2.0 44.0
75 28.0 8.0
76 38.0 6.0
77 40.0 42.0
78 10.0 2.0
79 44.0 18.0
80 0.0 20.0
81 44.0 38.0
82 2.0 42.0
83 6.0 26.0
84 48.0 48.0
85 12.0 0.0
86 32.0 50.0
87 44.0 44.0
88 2.0 40.0
89 0.0 50.0
90 38.0 2.0
91 50.0 34.0
92 30.0 8.0
93 10.0 6.0
94 6.0 28.0
95 36.0 42.0
96 42.0 6.0
97 0.0 18.0
98 0.0 38.0
99 50.0 0.0
100 44.0 20.0
101 46.0 16.0
102 32.0 44.0
103 8.0 16.0
104 48.0 4.0
105 44.0 50.0
106 0.0 44.0
107 24.0 8.0
108 42.0 2.0
109 8.0 2.0
110 2.0 20.0
111 0.0 42.0
112 46.0 6.0
113 32.0 42.0
114 42.0 16.0
115 36.0 44.0
116 14.0 0.0
117 40.0 50.0
118 48.0 24.0
119 4.0 30.0
120 8.0 6.0
121 26.0 8.0
122 50.0 14.0
123 46.0 2.0
124 0.0 40.0
125 2.0 50.0
126 30.0 6.0
127 10.0 8.0
128 4.0 4.0
129 6.0 44.0
130 18.0 0.0
131 0.0 28.0
132 6.0 18.0
133 38.0 8.0
134 6.0 38.0
135 30.0 2.0
136 44.0 26.0
137 28.0 6.0
138 16.0 0.0
139 6.0 40.0
140 48.0 30.0
141 4.0 24.0
142 6.0 42.0
143 2.0 26.0
144 34.0 8.0
145 28.0 2.0
146 48.0 32.0
147 4.0 22.0
148 8.0 8.0
149 26.0 6.0
150 50.0 10.0
151 22.0 0.0
152 4.0 46.0
153 42.0 12.0
154 26.0 2.0
155 2.0 28.0
156 46.0 8.0
157 24.0 6.0
158 6.0 50.0
159 8.0 12.0
160 20.0 0.0
161 44.0 28.0
162 46.0 12.0
163 4.0 48.0
164 24.0 2.0
165 6.0 20.0
166 42.0 8.0
167 0.0 26.0
168 26.0 0.0
169 2.0 32.0
170 42.0 10.0
171 14.0 8.0
172 6.0 4.0
173 22.0 6.0
174 4.0 44.0
175 4.0 38.0
176 22.0 2.0
177 50.0 12.0
178 48.0 28.0
179 4.0 18.0
180 24.0 0.0
181 0.0 30.0
182 4.0 40.0
183 6.0 24.0
184 46.0 10.0
185 20.0 6.0
186 44.0 32.0
187 50.0 8.0
188 8.0 10.0
189 20.0 2.0
190 4.0 42.0
191 44.0 30.0
192 30.0 0.0
193 6.0 46.0
194 12.0 8.0
195 18.0 6.0
196 6.0 22.0
197 0.0 32.0
198 18.0 2.0
199 28.0 0.0
200 16.0 6.0
201 2.0 30.0
202 4.0 50.0
203 6.0 48.0
204 48.0 26.0
205 4.0 20.0
206 16.0 2.0
207 34.0 46.0
208 44.0 14.0
209 48.0 2.0
210 12.0 42.0
211 46.0 24.0
212 10.0 48.0
213 6.0 10.0
214 42.0 4.0
215 38.0 48.0
216 14.0 50.0
217 40.0 0.0
218 0.0 36.0
219 48.0 6.0
220 8.0 24.0
221 2.0 0.0
222 0.0 34.0
223 38.0 46.0
224 42.0 24.0
225 2.0 14.0
226 50.0 50.0
227 46.0 4.0
228 8.0 4.0
229 48.0 16.0
230 12.0 44.0
231 44.0 0.0
232 50.0 20.0
233 34.0 48.0
234 10.0 46.0
235 14.0 42.0
236 44.0 34.0
237 42.0 46.0
238 50.0 44.0
239 42.0 22.0
240 34.0 4.0
241 8.0 48.0
242 46.0 48.0
243 12.0 50.0
244 32.0 0.0
245 50.0 38.0
246 0.0 0.0
247 50.0 18.0
248 2.0 36.0
249 4.0 12.0
250 0.0 14.0
251 50.0 40.0
252 46.0 46.0
253 46.0 22.0
254 2.0 34.0
255 38.0 4.0
256 36.0 0.0
257 42.0 48.0
258 10.0 4.0
259 4.0 8.0
260 44.0 36.0
261 8.0 22.0
262 14.0 44.0
263 8.0 46.0
264 50.0 42.0
265 38.0 50.0
266 14.0 48.0
267 4.0 10.0
268 42.0 44.0
269 50.0 22.0
270 50.0 46.0
271 32.0 2.0
272 46.0 40.0
273 8.0 42.0
274 0.0 2.0
275 46.0 42.0
276 8.0 40.0
277 32.0 6.0
278 42.0 18.0
279 0.0 6.0
280 42.0 38.0
281 48.0 36.0
282 10.0 50.0
283 34.0 50.0
284 46.0 44.0
285 8.0 38.0
286 36.0 2.0
287 8.0 18.0
288 48.0 34.0
289 42.0 40.0
290 36.0 6.0
291 42.0 42.0
292 46.0 18.0
293 14.0 46.0
294 12.0 4.0
295 46.0 38.0
296 8.0 44.0
297 0.0 16.0
298 50.0 48.0
299 34.0 44.0
300 50.0 4.0
301 46.0 50.0
302 12.0 48.0
303 2.0 2.0
304 8.0 20.0
305 10.0 42.0
306 40.0 2.0
307 38.0 42.0
308 6.0 12.0
309 40.0 6.0
310 8.0 50.0
311 46.0 20.0
312 48.0 0.0
313 44.0 16.0
314 2.0 6.0
315 38.0 44.0
316 42.0 50.0
317 50.0 24.0
318 44.0 2.0
319 48.0 14.0
320 12.0 46.0
321 2.0 16.0
322 44.0 6.0
323 34.0 42.0
324 42.0 20.0
325 14.0 4.0
326 6.0 8.0
327 10.0 44.0
328 18.0 4.0
329 26.0 44.0
330 0.0 12.0
331 28.0 50.0
332 36.0 8.0
333 46.0 26.0
334 4.0 0.0
335 22.0 46.0
336 8.0 26.0
337 24.0 42.0
338 20.0 48.0
339 24.0 44.0
340 16.0 4.0
341 30.0 50.0
342 32.0 8.0
343 20.0 46.0
344 42.0 26.0
345 0.0 8.0
346 26.0 42.0
347 22.0 48.0
348 4.0 14.0
349 50.0 30.0
350 42.0 28.0
351 24.0 50.0
352 6.0 6.0
353 22.0 4.0
354 30.0 44.0
355 18.0 46.0
356 2.0 12.0
357 4.0 36.0
358 44.0 8.0
359 50.0 32.0
360 28.0 42.0
361 48.0 10.0
362 6.0 2.0
363 16.0 48.0
364 26.0 50.0
365 46.0 28.0
366 28.0 44.0
367 44.0 12.0
368 2.0 8.0
369 20.0 4.0
370 16.0 46.0
371 6.0 16.0
372 40.0 8.0
373 30.0 42.0
374 4.0 34.0
375 18.0 48.0
376 8.0 28.0
377 6.0 0.0
378 30.0 46.0
379 26.0 4.0
380 48.0 12.0
381 18.0 44.0
382 50.0 28.0
383 20.0 50.0
384 2.0 10.0
385 28.0 48.0
386 42.0 32.0
387 16.0 42.0
388 48.0 8.0
389 8.0 32.0
390 28.0 46.0
391 16.0 44.0
392 24.0 4.0
393 22.0 50.0
394 30.0 48.0
395 6.0 14.0
396 44.0 10.0
397 18.0 42.0
398 46.0 32.0
399 26.0 46.0
400 6.0 36.0
401 16.0 50.0
402 30.0 4.0
403 4.0 6.0
404 8.0 30.0
405 22.0 44.0
406 46.0 30.0
407 4.0 2.0
408 24.0 48.0
409 0.0 10.0
410 20.0 42.0
411 24.0 46.0
412 50.0 26.0
413 4.0 16.0
414 18.0 50.0
415 20.0 44.0
416 28.0 4.0
417 42.0 30.0
418 6.0 34.0
419 26.0 48.0
420 22.0 42.0
*Edges
31 72 1.0
325 340 1.0
234 212 1.0
394 341 1.0
400 60 1.0
100 311 1.0
54 14 1.0
355 375 1.0
244 31 1.0
240 64 1.0
369 353 1.0
50 41 1.0
47 281 1.0
340 328 1.0
314 368 1.0
44 9 1.0
46 117 1.0
398 146 1.0
166 358 1.0
201 119 1.0
223 215 1.0
219 388 1.0
315 223 1.0
