*Vertices 52
1 8.5 26.0
2 15.5 28.0
3 36.5 30.0
4 7.5 31.0
5 21.5 30.0
6 12.5 26.0
7 3.5 13.0
8 19.5 5.0
9 10.5 31.0
10 16.5 3.0
11 19.5 19.0
12 24.5 27.0
13 13.5 1.0
14 39.5 30.0
15 33.5 28.0
16 31.5 6.0
17 24.5 4.0
18 6.0 24.0
19 30.5 31.0
20 39.5 6.0
21 0.5 17.0
22 34.5 16.0
23 21.5 23.0
24 21.5 2.0
25 27.5 26.0
26 19.5 26.0
27 22.5 8.0
28 12.5 5.0
29 4.5 18.0
30 22.5 15.0
31 35.5 10.0
32 19.5 12.0
33 35.5 4.0
34 1.5 23.0
35 1.5 2.0
36 26.5 2.0
37 17.5 31.0
38 24.5 20.0
39 4.5 30.0
40 39.5 14.0
41 40.5 22.0
42 13.5 31.0
43 1.5 30.0
44 5.5 10.0
45 30.5 26.0
46 8.5 6.0
47 26.5 31.0
48 35.5 24.0
49 1.5 8.0
50 28.5 5.0
51 37.5 19.0
52 38.5 1.0
*Edges
6 37 1.0
20 40 1.0
3 48 1.0
16 36 1.0
30 32 1.0
37 42 1.0
16 33 1.0
38 45 1.0
23 26 1.0
48 51 1.0
15 47 1.0
41 51 1.0
11 30 1.0
16 50 1.0
12 37 1.0
4 6 1.0
3 14 1.0
5 37 1.0
41 48 1.0
25 38 1.0
12 25 1.0
8 28 1.0
16 17 1.0
34 39 1.0
12 45 1.0
33 52 1.0
25 45 1.0
6 9 1.0
7 29 1.0
9 39 1.0
18 43 1.0
18 29 1.0
40 51 1.0
22 51 1.0
20 52 1.0
9 37 1.0
12 23 1.0
44 49 1.0
1 6 1.0
14 41 1.0
14 48 1.0
8 13 1.0
3 19 1.0
1 2 1.0
18 34 1.0
26 37 1.0
4 42 1.0
2 9 1.0
10 27 1.0
2 23 1.0
5 26 1.0
1 42 1.0
2 42 1.0
34 43 1.0
9 18 1.0
3 15 1.0
16 31 1.0
33 50 1.0
22 40 1.0
14 15 1.0
15 19 1.0
18 39 1.0
12 19 1.0
8 24 1.0
19 25 1.0
35 49 1.0
5 23 1.0
16 20 1.0
5 47 1.0
21 34 1.0
10 17 1.0
46 49 1.0
27 32 1.0
30 38 1.0
7 49 1.0
31 40 1.0
25 26 1.0
5 42 1.0
27 50 1.0
12 26 1.0
2 26 1.0
45 47 1.0
25 47 1.0
27 30 1.0
6 26 1.0
23 25 1.0
8 10 1.0
19 45 1.0
27 36 1.0
20 31 1.0
19 47 1.0
6 42 1.0
2 5 1.0
3 45 1.0
31 33 1.0
11 26 1.0
8 32 1.0
6 18 1.0
7 44 1.0
24 50 1.0
13 46 1.0
4 39 1.0
22 48 1.0
17 24 1.0
24 36 1.0
11 23 1.0
23 38 1.0
1 39 1.0
15 45 1.0
26 38 1.0
12 47 1.0
28 46 1.0
9 42 1.0
35 46 1.0
22 41 1.0
8 17 1.0
4 18 1.0
29 34 1.0
10 13 1.0
1 34 1.0
5 25 1.0
2 37 1.0
23 30 1.0
8 27 1.0
17 50 1.0
15 48 1.0
11 32 1.0
2 6 1.0
24 27 1.0
22 31 1.0
36 50 1.0
17 27 1.0
20 33 1.0
5 12 1.0
1 43 1.0
11 38 1.0
4 9 1.0
13 24 1.0
40 41 1.0
29 44 1.0
21 29 1.0
39 43 1.0
12 38 1.0
1 4 1.0
8 36 1.0
10 24 1.0
13 28 1.0
26 42 1.0
4 43 1.0
1 18 1.0
10 28 1.0
17 36 1.0
45 48 1.0
15 25 1.0
25 48 1.0
1 9 1.0
44 46 1.0
7 21 1.0
