*Vertices 676
1 100.0 80.0
2 68.0 12.0
3 96.0 64.0
4 92.0 92.0
5 36.0 48.0
6 64.0 28.0
7 52.0 20.0
8 28.0 76.0
9 76.0 8.0
10 36.0 72.0
11 48.0 52.0
12 84.0 96.0
13 80.0 56.0
14 60.0 40.0
15 28.0 88.0
16 20.0 8.0
17 44.0 24.0
18 16.0 92.0
19 32.0 68.0
20 100.0 84.0
21 88.0 60.0
22 4.0 56.0
23 0.0 68.0
24 56.0 44.0
25 40.0 4.0
26 76.0 12.0
27 0.0 48.0
28 28.0 84.0
29 72.0 28.0
30 48.0 20.0
31 84.0 92.0
32 32.0 48.0
33 68.0 8.0
34 100.0 88.0
35 0.0 72.0
36 16.0 96.0
37 32.0 72.0
38 52.0 52.0
39 92.0 96.0
40 24.0 100.0
41 40.0 24.0
42 100.0 76.0
43 88.0 56.0
44 4.0 60.0
45 56.0 40.0
46 8.0 0.0
47 36.0 68.0
48 44.0 4.0
49 20.0 12.0
50 80.0 60.0
51 60.0 44.0
52 28.0 80.0
53 76.0 92.0
54 44.0 48.0
55 80.0 28.0
56 60.0 20.0
57 84.0 12.0
58 100.0 100.0
59 44.0 72.0
60 56.0 52.0
61 4.0 28.0
62 24.0 76.0
63 92.0 8.0
64 64.0 56.0
65 24.0 88.0
66 52.0 40.0
67 16.0 8.0
68 96.0 32.0
69 36.0 24.0
70 68.0 96.0
71 72.0 60.0
72 48.0 44.0
73 32.0 4.0
74 12.0 16.0
75 20.0 92.0
76 40.0 68.0
77 0.0 4.0
78 88.0 28.0
79 56.0 20.0
80 68.0 92.0
81 40.0 48.0
82 92.0 12.0
83 24.0 84.0
84 60.0 52.0
85 20.0 96.0
86 40.0 72.0
87 84.0 8.0
88 32.0 24.0
89 72.0 56.0
90 48.0 40.0
91 0.0 24.0
92 76.0 96.0
93 28.0 100.0
94 36.0 4.0
95 16.0 12.0
96 8.0 36.0
97 64.0 60.0
98 24.0 80.0
99 52.0 44.0
100 44.0 68.0
101 76.0 88.0
102 20.0 76.0
103 0.0 52.0
104 84.0 100.0
105 32.0 52.0
106 52.0 72.0
107 68.0 80.0
108 100.0 12.0
109 64.0 64.0
110 52.0 48.0
111 96.0 28.0
112 36.0 20.0
113 24.0 92.0
114 48.0 68.0
115 68.0 84.0
116 40.0 44.0
117 4.0 32.0
118 56.0 4.0
119 76.0 76.0
120 20.0 88.0
121 44.0 40.0
122 80.0 32.0
123 60.0 24.0
124 28.0 8.0
