*Vertices 441
1 9.5 4.0
2 3.0 8.5
3 9.0 5.0
4 3.5 3.5
5 5.5 2.5
6 1.0 8.5
7 10.0 4.5
8 0.5 1.0
9 2.0 4.0
10 6.5 3.0
11 9.0 0.0
12 4.5 1.5
13 3.5 0.5
14 1.5 4.0
15 6.0 1.0
16 8.5 4.0
17 5.0 2.5
18 8.0 5.0
19 6.0 3.0
20 8.0 0.0
21 4.0 1.5
22 0.5 3.0
23 6.5 1.0
24 3.0 3.5
25 4.5 2.5
26 3.5 8.5
27 1.0 3.5
28 8.0 4.5
29 2.5 4.0
30 1.0 0.5
31 7.5 3.0
32 3.0 0.5
33 5.5 1.5
34 7.0 1.0
35 0.0 4.0
36 10.0 5.0
37 4.0 2.5
38 9.0 4.5
39 7.0 3.0
40 5.0 1.5
41 7.5 1.0
42 10.0 0.0
43 0.0 3.5
44 1.5 8.5
45 2.0 8.5
46 2.5 3.5
47 7.5 2.5
48 4.0 1.0
49 2.5 0.5
50 1.0 4.0
51 6.5 1.5
52 8.0 5.5
53 0.0 0.5
54 9.5 8.5
55 3.0 4.0
56 4.5 3.0
57 10.0 2.0
58 7.0 2.5
59 9.0 5.5
60 4.5 1.0
61 6.0 1.5
62 10.0 6.0
63 4.0 3.0
64 0.5 1.5
65 8.5 8.5
66 0.0 8.5
67 1.5 3.5
68 9.0 2.0
69 9.5 0.5
70 2.0 3.5
71 6.5 2.5
72 2.5 8.5
73 10.0 5.5
74 2.0 0.5
75 5.0 1.0
76 7.5 1.5
77 9.0 6.0
78 3.5 4.0
79 1.5 0.5
80 5.5 3.0
81 9.5 3.5
82 0.5 2.5
83 8.0 2.0
84 8.5 0.5
85 6.0 2.5
86 5.5 1.0
87 7.0 1.5
88 5.0 3.0
89 8.0 6.0
90 8.5 3.5
91 10.0 8.0
92 4.0 4.0
93 1.0 1.0
94 9.0 7.5
95 3.0 1.0
96 7.0 0.5
97 6.0 8.5
98 7.0 3.5
99 0.5 8.5
100 8.5 1.5
101 3.0 3.0
102 1.5 1.5
103 4.5 4.0
104 1.0 3.0
105 2.0 1.5
106 7.5 0.5
107 8.0 7.5
108 6.5 8.5
109 2.5 2.5
110 7.5 3.5
111 9.5 1.5
112 0.0 2.5
113 0.5 0.5
114 5.0 4.0
115 8.0 8.0
116 8.5 2.5
117 3.5 1.0
118 6.0 0.5
119 6.0 3.5
120 7.0 8.5
121 0.5 3.5
122 9.0 8.0
123 3.5 3.0
124 5.5 4.0
125 9.5 2.5
126 0.0 1.5
127 10.0 7.5
128 2.5 1.5
129 6.5 0.5
130 2.0 2.5
131 6.5 3.5
132 7.5 8.5
133 1.5 2.5
134 0.5 4.0
135 2.0 1.0
136 5.0 0.5
137 10.0 9.5
138 1.5 1.0
139 6.0 4.0
140 9.5 1.0
141 9.0 10.0
142 4.0 8.5
143 8.5 3.0
144 10.0 9.0
145 5.0 3.5
146 8.0 7.0
147 3.0 1.5
148 1.5 3.0
149 5.5 0.5
150 1.0 1.5
151 2.0 3.0
152 6.5 4.0
153 8.5 1.0
154 8.0 10.0
155 10.0 6.5
156 9.5 3.0
157 4.5 8.5
158 9.0 7.0
159 3.5 2.5
160 5.5 3.5
161 4.0 0.5
162 2.5 1.0
163 7.0 4.0
164 0.0 1.0
165 8.0 9.5
166 9.0 6.5
167 8.0 9.0
168 10.0 7.0
169 4.0 3.5
170 5.0 8.5
171 4.5 0.5
172 3.5 1.5
173 0.0 3.0
174 2.5 3.0
175 7.5 4.0
176 9.0 9.5
177 10.0 10.0
178 1.0 2.5
179 8.0 6.5
180 9.0 9.0
181 3.0 2.5
182 4.5 3.5
183 5.5 8.5
184 0.5 10.0
185 7.5 9.0
186 2.0 5.0
187 6.5 7.0
188 6.0 10.0
189 9.5 0.0
190 3.5 2.0
191 1.5 5.0
192 7.0 6.5
193 9.0 4.0
194 3.5 6.0
195 5.5 8.0
196 9.5 5.0
197 1.5 0.0
198 7.5 9.5
199 4.0 7.5
200 2.0 0.0
201 7.0 9.0
202 6.0 7.0
203 0.0 4.5
204 6.5 10.0
205 2.5 4.5
206 0.5 7.0
207 7.5 6.5
208 8.5 0.0
209 1.0 5.5
210 5.0 8.0
211 8.0 4.0
212 8.5 5.0
213 7.0 9.5
214 3.0 5.5
215 4.5 7.5
216 6.5 9.0
217 2.5 5.0
218 1.0 2.0
219 0.5 6.5
220 7.5 7.0
221 0.0 5.0
222 7.0 10.0
223 3.0 2.0
224 6.0 6.5
225 6.5 9.5
226 3.0 6.0
227 0.0 0.0
228 4.5 8.0
229 2.5 0.0
230 8.5 4.5
231 1.0 6.0
232 5.0 7.5
233 6.0 9.0
234 1.5 4.5
235 7.0 7.0
236 0.5 9.0
237 7.5 10.0
238 2.0 4.5
239 6.5 6.5
240 6.0 9.5
241 10.0 4.0
242 4.0 8.0
243 9.5 4.5
244 0.5 9.5
245 3.5 5.5
246 5.5 7.5
247 2.5 2.0
248 1.0 5.0
249 5.0 6.5
250 4.0 10.0
251 8.5 5.5
252 3.0 5.0
253 4.5 7.0
254 5.5 9.0
255 9.0 8.5
256 0.0 2.0
257 6.0 7.5
258 3.0 0.0
259 0.0 6.0
260 2.5 6.0
261 0.5 7.5
262 7.5 8.0
263 5.5 9.5
264 1.0 0.0
265 3.5 4.5
266 5.5 6.5
267 4.5 10.0
268 9.5 5.5
269 10.0 3.5
270 4.0 7.0
271 5.0 9.0
272 8.0 8.5
273 10.0 0.5
274 2.0 5.5
275 6.5 7.5
276 1.5 5.5
277 7.0 8.0
278 5.0 9.5
279 4.0 6.5
280 2.0 2.0
281 5.0 10.0
282 9.5 6.0
283 9.0 3.5
284 3.5 5.0
285 1.5 2.0
286 5.5 7.0
287 4.5 9.0
288 9.5 2.0
289 3.5 0.0
290 1.5 6.0
291 7.0 7.5
292 9.0 0.5
293 4.5 9.5
294 2.0 6.0
295 6.5 8.0
296 3.0 4.5
297 4.5 6.5
298 5.5 10.0
299 10.0 8.5
300 8.5 6.0
301 1.0 4.5
302 5.0 7.0
303 8.0 3.5
304 4.0 9.0
305 8.5 2.0
306 2.5 5.5
307 0.5 8.0
308 7.5 7.5
309 8.0 0.5
310 4.0 9.5
311 0.0 5.5
312 6.0 8.0
313 1.5 7.5
314 7.0 6.0
315 2.0 7.5
316 6.5 5.5
317 8.0 1.5
318 4.0 0.0
319 10.0 2.5
320 4.0 5.0
321 1.0 10.0
322 3.5 6.5
323 5.5 4.5
324 7.0 2.0
325 3.0 10.0
326 9.5 7.5
327 2.5 8.0
328 0.5 5.5
329 7.5 6.0
330 3.5 9.5
331 6.0 5.5
332 9.0 1.5
333 4.5 0.0
334 0.0 8.0
335 3.0 7.0
336 4.5 5.0
337 3.5 9.0
338 1.0 7.0
339 5.0 4.5
340 7.5 2.0
341 8.5 7.5
342 0.0 7.5
343 6.0 6.0
344 5.0 0.0
345 10.0 1.5
346 2.5 7.5
347 0.5 6.0
348 7.5 5.5
349 8.5 8.0
350 0.5 2.0
351 1.0 6.5
352 5.0 5.0
353 8.0 2.5
354 3.0 6.5
355 4.5 4.5
356 6.0 2.0
357 3.5 10.0
358 3.0 9.5
359 2.0 8.0
360 6.5 6.0
361 1.0 9.5
362 5.5 0.0
363 1.5 8.0
364 7.0 5.5
365 9.5 8.0
366 3.5 7.0
367 5.5 5.0
368 9.0 2.5
369 3.0 9.0
370 4.0 4.5
371 6.5 2.0
372 1.0 9.0
373 3.0 7.5
374 4.5 5.5
375 9.0 1.0
376 6.0 0.0
377 9.5 10.0
378 1.0 7.5
379 5.0 6.0
380 8.0 3.0
381 0.5 0.0
382 8.5 7.0
383 2.0 10.0
384 2.5 6.5
385 0.5 5.0
386 5.0 2.0
387 7.5 4.5
388 1.5 10.0
389 6.0 5.0
390 0.0 6.5
391 4.0 5.5
392 8.0 1.0
393 0.0 9.5
394 6.5 0.0
395 8.5 10.0
396 3.5 8.0
397 5.5 6.0
398 9.0 3.0
399 9.5 7.0
400 2.5 9.5
401 1.5 7.0
402 5.5 2.0
403 7.0 4.5
404 0.0 9.0
405 2.5 9.0
406 2.0 7.0
407 6.5 5.0
408 9.5 6.5
409 7.0 0.0
410 3.5 7.5
411 5.5 5.5
412 8.5 9.0
413 10.0 3.0
414 4.0 6.0
415 2.5 10.0
416 4.0 2.0
417 2.0 6.5
418 6.5 4.5
419 0.0 10.0
420 8.5 9.5
421 1.5 6.5
422 7.0 5.0
423 7.5 0.0
424 8.5 6.5
425 1.5 9.5
426 10.0 1.0
427 1.0 8.0
428 5.0 5.5
429 9.5 9.0
430 2.0 9.5
431 3.0 8.0
432 4.5 6.0
433 0.0 7.0
434 1.5 9.0
435 4.5 2.0
436 6.0 4.5
437 9.5 9.5
438 2.0 9.0
439 2.5 7.0
440 0.5 4.5
441 7.5 5.0
*Edges
210 195 1.0
308 107 1.0
212 251 1.0
344 136 1.0
309 392 1.0
114 124 1.0
320 336 1.0
303 90 1.0
335 366 1.0
111 288 1.0
221 311 1.0
69 273 1.0
425 430 1.0
231 290 1.0
111 345 1.0
310 250 1.0
441 18 1.0
399 168 1.0
206 261 1.0
12 40 1.0
372 361 1.0
246 257 1.0
24 4 1.0
20 208 1.0
