*Vertices 735
29001310 -1.3821114 50.9256793
7015694 -1.4064517 50.9359042
675840 -1.3733787 50.9321093
29134107 -1.3837058 50.9437575
29380428 -1.3774622 50.9439008
20110935 -1.3653544 50.9352775
29380421 -1.380025 50.9457659
21689113 -1.3844693 50.9390727
13071201 -1.3668793 50.9242282
21689145 -1.3787171 50.9386493
21689084 -1.3890528 50.9421576
29135435 -1.3824412 50.9434013
675887 -1.3744344 50.925109
28903406 -1.363882 50.9458253
24984663 -1.3994426 50.9455495
673879 -1.3711415 50.9487445
29526312 -1.3635242 50.9289411
247796 -1.3964126 50.9380196
21636731 -1.3953028 50.9433599
24984720 -1.3904763 50.9434766
388948 -1.3968496 50.9387778
28903413 -1.3622879 50.9462337
423286 -1.3849189 50.9313554
650903 -1.4010808 50.9292889
254565 -1.4057177 50.9452726
29134830 -1.3835895 50.9445434
307479 -1.4000079 50.9262485
29794379 -1.3638334 50.9224151
28345061 -1.3632484 50.9316026
700489 -1.3681609 50.9242964
20110950 -1.362324 50.9355716
658325 -1.3885307 50.9360509
28414295 -1.3728628 50.9389995
29134815 -1.3881152 50.9447305
29001341 -1.3808613 50.9236242
306314 -1.3919481 50.9274718
16963794 -1.400501 50.9340832
28347762 -1.3614447 50.9307058
13071393 -1.362273 50.9289044
544338 -1.3723101 50.9391083
29464265 -1.4073676 50.9372378
13071398 -1.3561222 50.9218375
254395 -1.3616735 50.9225393
14964101 -1.375883 50.9241727
20954600 -1.3979536 50.9387169
2073222 -1.3927466 50.9325671
675834 -1.3762497 50.9273613
27563286 -1.3974158 50.930241
29764414 -1.3611042 50.925344
29001333 -1.3809805 50.9234363
10908513 -1.3659595 50.9386297
700478 -1.3705377 50.9263534
28194494 -1.4059089 50.9478106
306318 -1.39408 50.9268
388883 -1.3950589 50.9401249
20130894 -1.3616192 50.9329375
9726311 -1.3749236 50.9183503
319650 -1.4001192 50.922278
422991 -1.3984743 50.9467985
331360 -1.4041051 50.9457969
254710 -1.4071367 50.940641
27563290 -1.3973128 50.930214
15028825 -1.361599 50.9261294
27563361 -1.3987548 50.9280771
29380434 -1.3754953 50.9436504
518815 -1.3691945 50.9406456
29380436 -1.3753364 50.9439258
25471837 -1.3686237 50.9381986
661195 -1.3876269 50.9246661
29134104 -1.384818 50.9447445
544334 -1.3813361 50.9351644
4942325 -1.3834866 50.9220511
700529 -1.3663093 50.9298355
28348145 -1.3678357 50.9316344
254172479 -1.371519 50.924187
29003030 -1.4057462 50.9419132
254439 -1.3746248 50.9421096
374372963 -1.3769444 50.9232373
20110846 -1.3612913 50.9353216
21689061 -1.3747421 50.9402312
13071396 -1.3600696 50.928325
700480 -1.3704109 50.9242964
423279 -1.3934797 50.9390002
24984803 -1.3801226 50.9413165
387812 -1.3910676 50.9281906
16963791 -1.3999636 50.9331143
28194841 -1.4097027 50.9456846
259591688 -1.3992676 50.9369913
331357 -1.403566 50.9428761
12889431 -1.3643602 50.9492338
27440014 -1.3812248 50.9277408
2073407 -1.392678 50.9305115
12889426 -1.3646708 50.9479351
307482 -1.3986518 50.9265082
29135434 -1.3826992 50.9434156
21507752 -1.4005692 50.9318163
9726306 -1.3734214 50.9182167
700511 -1.372632 50.9265265
41141832 -1.3907892 50.9248231
21507780 -1.3997994 50.9481032
700384 -1.3922702 50.9240933
28194866 -1.4067297 50.942091
306312 -1.3958566 50.9297496
21636777 -1.4074186 50.9488429
17722330 -1.3803391 50.9418385
5292817 -1.3907811 50.9290184
243877 -1.4075095 50.9405433
25303928 -1.4070864 50.9408723
544326 -1.3859368 50.9282566
253047385 -1.388848 50.937123
254047486 -1.3714479 50.9232021
27434184 -1.3885663 50.9292246
28194909 -1.4078036 50.9412645
29001335 -1.3803051 50.9234989
21689106 -1.3802319 50.9401484
28903378 -1.3640327 50.9468771
21689164 -1.372325 50.9398918
518806 -1.3852521 50.9298932
24924092 -1.3757285 50.939107
29134112 -1.3821374 50.9443372
387816 -1.3882574 50.9282887
21689060 -1.3793077 50.9381449
388923 -1.39677 50.9441
29134819 -1.3866887 50.9443932
28903060 -1.3707764 50.9422799
544742 -1.3907329 50.9268976
29134823 -1.3852385 50.9446435
21507798 -1.4036758 50.9438063
21507765 -1.3877661 50.9385645
254672 -1.3758935 50.924238
28830578 -1.3662728 50.925851
675863 -1.3731247 50.9252676
700393 -1.3918952 50.9227964
28347761 -1.3608884 50.9306056
19035792 -1.3953196 50.9360508
24924068 -1.3744195 50.9390707
29764412 -1.3623138 50.924992
21419419 -1.3721402 50.9412129
21689163 -1.372325 50.9395538
258079849 -1.4024581 50.932361
29001318 -1.3823643 50.9225305
28345081 -1.3677366 50.9332516
13071388 -1.361054 50.9243082
28107858 -1.3965232 50.9324589
700527 -1.3677624 50.9298823
13071382 -1.3570257 50.9289533
